Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1787504076863714.424	,1787504076863714.444	
0,N/A,TASK_TIMEOUT_SET,49,4,87.061,1787504076872657.303	,1787504076872744.365	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,0,4.280,1787504077015802.083	,1787504077015806.363	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,1,8.280,1787504077016573.618	,1787504077016581.898	
0,GroupedMatmul_0d2d43751f81d7f29646a862147967c9_102439707,MIX_AIC,46,2,26.720,1787504077029840.603	,1787504077029867.324	
0,N/A,PROFILING_DISABLE,49,5,0.000,1787504077931588.460	,1787504077931588.460	
