Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,GroupedMatmul,MIX_AIC,1,25.86,25.86,25.86,25.86,65.435
0,OnesLike,AI_VECTOR_CORE,2,13.66,4.8,6.83,8.86,34.565
