Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1787504054227829.264	,1787504054227829.284	
0,N/A,TASK_TIMEOUT_SET,49,4,147.143,1787504054237330.233	,1787504054237477.376	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,0,4.800,1787504054381431.513	,1787504054381436.313	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,1,8.860,1787504054382293.550	,1787504054382302.410	
0,GroupedMatmul_0d2d43751f81d7f29646a862147967c9_102439707,MIX_AIC,46,2,25.860,1787504054396378.391	,1787504054396404.252	
0,N/A,PROFILING_DISABLE,49,5,0.020,1787504054929813.149	,1787504054929813.169	
