Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1787504148119643.318	,1787504148119643.338	
0,N/A,TASK_TIMEOUT_SET,49,4,145.322,1787504148129058.146	,1787504148129203.469	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,0,4.140,1787504148273307.948	,1787504148273312.088	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,1,7.620,1787504148274100.484	,1787504148274108.104	
0,GroupedMatmul_0d2d43751f81d7f29646a862147967c9_102439707,MIX_AIC,46,2,25.480,1787504148287766.677	,1787504148287792.158	
0,N/A,PROFILING_DISABLE,49,5,0.000,1787504148939351.356	,1787504148939351.356	
