Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,GroupedMatmul,MIX_AIC,1,25.881,25.881,25.881,25.881,67.047
0,OnesLike,AI_VECTOR_CORE,2,12.72,4.38,6.36,8.34,32.953
