Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1787504030808342.754	,1787504030808342.754	
0,N/A,TASK_TIMEOUT_SET,49,4,87.201,1787504030817338.934	,1787504030817426.136	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,0,4.380,1787504030959680.018	,1787504030959684.398	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,1,8.340,1787504030960456.854	,1787504030960465.194	
0,GroupedMatmul_0d2d43751f81d7f29646a862147967c9_102439707,MIX_AIC,46,2,25.880,1787504030973695.138	,1787504030973721.019	
0,N/A,PROFILING_DISABLE,49,5,0.000,1787504031920658.418	,1787504031920658.418	
