block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.167223,36301,26,418,1,836,2,835,5.855856,0.179211,1.369216,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.807222,39253,28,416,4,833,6,832,6.306306,0.597015,1.793299,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.294445,38330,26,418,4,835,5,830,5.855856,0.537634,1.652502,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.235556,40024,26,418,5,830,5,835,5.855856,0.597015,1.698915,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.282223,41908,26,418,4,839,4,828,5.855856,0.477612,1.604530,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.299999,41940,28,416,5,827,4,838,6.306306,0.537634,1.746931,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.805555,41050,26,418,4,832,6,833,5.855856,0.597015,1.698915,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.382778,42089,26,418,5,833,4,832,5.855856,0.537634,1.652502,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.331112,40196,26,418,4,838,4,828,5.855856,0.477897,1.605288,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978889,41362,26,418,5,827,5,838,5.855856,0.597015,1.698915,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.020555,41437,26,418,4,827,5,838,5.855856,0.537634,1.652502,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.886110,35795,28,416,5,838,4,828,6.306306,0.537313,1.746107,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.566668,37020,26,418,4,833,4,834,5.855856,0.477612,1.604530,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.807222,35653,26,418,5,833,4,832,5.855856,0.537634,1.652502,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.523333,35142,26,418,6,813,4,852,5.855856,0.597015,1.698915,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.716667,37290,26,418,4,852,4,814,5.855856,0.477897,1.605288,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.915556,35848,28,416,4,831,4,835,6.306306,0.477897,1.699717,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.320555,36577,26,418,5,834,5,831,5.855856,0.597015,1.698915,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.358889,36646,26,418,5,840,3,826,5.855856,0.477897,1.605288,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.223333,36402,26,418,3,827,6,839,5.855856,0.537313,1.651723,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.897778,35816,26,418,4,832,6,833,5.855856,0.597015,1.698915,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.995556,39592,26,418,5,833,4,832,5.855856,0.537634,1.652502,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.604445,37088,28,416,3,830,7,835,6.306306,0.597015,1.793299,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.027222,37849,26,418,6,835,3,830,5.855856,0.537634,1.652502,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.100555,39781,26,418,2,835,4,833,5.855856,0.358423,1.510859,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.660000,38988,26,418,5,832,5,833,5.855856,0.597015,1.698915,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.410000,40338,26,418,7,836,2,829,5.855856,0.537634,1.652502,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.983889,41371,28,416,2,829,7,837,6.306306,0.537313,1.746107,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.073889,37933,26,418,6,836,4,829,5.855856,0.597015,1.698915,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.449444,40409,26,418,3,830,5,836,5.855856,0.477897,1.605288,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.558889,38806,26,418,7,832,3,833,5.855856,0.597015,1.698915,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.620556,38917,26,418,3,833,6,832,5.855856,0.537634,1.652502,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.180000,41724,26,418,4,832,3,835,5.855856,0.418160,1.558074,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.631666,40737,28,416,5,834,5,831,6.306306,0.597015,1.793299,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.565556,37018,26,418,4,838,4,828,5.855856,0.477897,1.605288,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.587223,40657,26,418,5,827,5,838,5.855856,0.597015,1.698915,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.106667,41592,26,418,6,832,4,833,5.855856,0.597015,1.698915,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.320000,40176,26,418,4,833,5,832,5.855856,0.537634,1.652502,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.815001,37467,28,416,4,833,5,833,6.306306,0.537313,1.746107,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.924444,17864,10,162,5,320,2,322,5.813953,1.078582,2.070646,
