block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,20.167223,36301,0.000000,0.000000,0.000000,0.000000,0.000000,0.452274,0.000468,0.356299,
1,vector0,NA,NA,NA,NA,NA,NA,21.807222,39253,0.000000,0.000000,0.000000,0.000000,0.000000,0.414898,0.000433,0.315899,
2,vector0,NA,NA,NA,NA,NA,NA,21.294445,38330,0.000000,0.000000,0.000000,0.000000,0.000000,0.426194,0.000444,0.329429,
3,vector0,NA,NA,NA,NA,NA,NA,22.235556,40024,0.000000,0.000000,0.000000,0.000000,0.000000,0.379572,0.000425,0.331076,
4,vector0,NA,NA,NA,NA,NA,NA,23.282223,41908,0.000000,0.000000,0.000000,0.000000,0.000000,0.400735,0.000406,0.294383,
5,vector0,NA,NA,NA,NA,NA,NA,23.299999,41940,0.000000,0.000000,0.000000,0.000000,0.000000,0.399309,0.000453,0.308441,
6,vector0,NA,NA,NA,NA,NA,NA,22.805555,41050,0.000000,0.000000,0.000000,0.000000,0.000000,0.399123,0.000438,0.321949,
7,vector0,NA,NA,NA,NA,NA,NA,23.382778,42089,0.000000,0.000000,0.000000,0.000000,0.000000,0.369099,0.000451,0.276676,
8,vector0,NA,NA,NA,NA,NA,NA,22.331112,40196,0.000000,0.000000,0.000000,0.000000,0.000000,0.376207,0.000498,0.318887,
9,vector0,NA,NA,NA,NA,NA,NA,22.978889,41362,0.000000,0.000000,0.000000,0.000000,0.000000,0.377351,0.000459,0.287414,
10,vector0,NA,NA,NA,NA,NA,NA,23.020555,41437,0.000000,0.000000,0.000000,0.000000,0.000000,0.389000,0.000410,0.310761,
11,vector0,NA,NA,NA,NA,NA,NA,19.886110,35795,0.000000,0.000000,0.000000,0.000000,0.000000,0.437268,0.000475,0.329795,
12,vector0,NA,NA,NA,NA,NA,NA,20.566668,37020,0.000000,0.000000,0.000000,0.000000,0.000000,0.443382,0.000459,0.345381,
13,vector0,NA,NA,NA,NA,NA,NA,19.807222,35653,0.000000,0.000000,0.000000,0.000000,0.000000,0.431885,0.000477,0.338120,
14,vector0,NA,NA,NA,NA,NA,NA,19.523333,35142,0.000000,0.000000,0.000000,0.000000,0.000000,0.425275,0.000484,0.316800,
15,vector0,NA,NA,NA,NA,NA,NA,20.716667,37290,0.000000,0.000000,0.000000,0.000000,0.000000,0.426468,0.000510,0.323492,
16,vector0,NA,NA,NA,NA,NA,NA,19.915556,35848,0.000000,0.000000,0.000000,0.000000,0.000000,0.427667,0.000530,0.343450,
17,vector0,NA,NA,NA,NA,NA,NA,20.320555,36577,0.000000,0.000000,0.000000,0.000000,0.000000,0.434645,0.000547,0.346365,
18,vector0,NA,NA,NA,NA,NA,NA,20.358889,36646,0.000000,0.000000,0.000000,0.000000,0.000000,0.429105,0.000518,0.324428,
19,vector0,NA,NA,NA,NA,NA,NA,20.223333,36402,0.000000,0.000000,0.000000,0.000000,0.000000,0.429317,0.000522,0.312840,
20,vector0,NA,NA,NA,NA,NA,NA,19.897778,35816,0.000000,0.000000,0.000000,0.000000,0.000000,0.416825,0.000475,0.334627,
21,vector0,NA,NA,NA,NA,NA,NA,21.995556,39592,0.000000,0.000000,0.000000,0.000000,0.000000,0.427713,0.000429,0.308194,
22,vector0,NA,NA,NA,NA,NA,NA,20.604445,37088,0.000000,0.000000,0.000000,0.000000,0.000000,0.425798,0.000512,0.331778,
23,vector0,NA,NA,NA,NA,NA,NA,21.027222,37849,0.000000,0.000000,0.000000,0.000000,0.000000,0.427911,0.000502,0.350498,
24,vector0,NA,NA,NA,NA,NA,NA,22.100555,39781,0.000000,0.000000,0.000000,0.000000,0.000000,0.441442,0.000478,0.323094,
25,vector0,NA,NA,NA,NA,NA,NA,21.660000,38988,0.000000,0.000000,0.000000,0.000000,0.000000,0.434313,0.000487,0.336360,
26,vector0,NA,NA,NA,NA,NA,NA,22.410000,40338,0.000000,0.000000,0.000000,0.000000,0.000000,0.421637,0.000471,0.320467,
27,vector0,NA,NA,NA,NA,NA,NA,22.983889,41371,0.000000,0.000000,0.000000,0.000000,0.000000,0.393754,0.000459,0.280075,
28,vector0,NA,NA,NA,NA,NA,NA,21.073889,37933,0.000000,0.000000,0.000000,0.000000,0.000000,0.431629,0.000448,0.353623,
29,vector0,NA,NA,NA,NA,NA,NA,22.449444,40409,0.000000,0.000000,0.000000,0.000000,0.000000,0.395011,0.000421,0.299686,
30,vector0,NA,NA,NA,NA,NA,NA,21.558889,38806,0.000000,0.000000,0.000000,0.000000,0.000000,0.418698,0.000490,0.313328,
