block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.167223,36301,1.513333,0.075039,9.272778,0.459794,21.469242,6.668334,0.330652,30.212000,0.000000,10.333333,0.512383,2.670000,2.252778,0.000000,0.000000,0.000000,0.000000,0.479444,10.010000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.807222,39253,1.513333,0.069396,9.200000,0.421879,21.639078,6.895555,0.316205,29.216457,0.000000,11.958333,0.548366,2.671111,2.252222,0.000000,0.000000,0.000000,0.000000,0.343889,9.578333,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.294445,38330,1.513333,0.071067,9.227777,0.433342,21.573940,6.825555,0.320532,29.516090,0.000000,11.387777,0.534777,2.669445,2.253333,0.000000,0.000000,0.000000,0.000000,0.746667,9.698334,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.235556,40024,1.513333,0.068059,8.591666,0.386393,23.171234,6.817778,0.306616,29.549761,0.000000,12.893333,0.579852,2.667778,2.254444,0.000000,0.000000,0.000000,0.000000,0.390556,10.083333,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.282223,41908,1.513333,0.065000,9.481667,0.407249,20.996258,7.145555,0.306910,28.194267,0.000000,12.977777,0.557411,2.675000,2.255000,0.000000,0.000000,0.000000,0.000000,0.515000,9.624444,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.299999,41940,1.513333,0.064950,9.456667,0.405866,21.051764,7.513333,0.322461,26.814157,0.000000,13.011666,0.558441,2.672222,2.255556,0.000000,0.000000,0.000000,0.000000,0.677778,10.006667,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.805555,41050,1.513333,0.066358,9.255000,0.405822,21.510483,7.281667,0.319294,27.667250,0.000000,12.815556,0.561949,2.672778,2.255556,0.000000,0.000000,0.000000,0.000000,0.411667,10.255000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.382778,42089,1.513333,0.064720,8.783334,0.375633,22.665598,7.376111,0.315451,27.312998,0.000000,13.840000,0.591889,2.667222,2.258333,0.000000,0.000000,0.000000,0.000000,0.323333,9.269444,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.331112,40196,1.513333,0.067768,8.553889,0.383048,23.273567,7.085556,0.317295,28.433014,0.000000,13.157778,0.589213,2.673333,2.255000,0.000000,0.000000,0.000000,0.000000,0.478333,9.756667,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978889,41362,1.513333,0.065858,8.823889,0.384000,22.561426,7.072222,0.307770,28.486618,0.000000,13.510000,0.587931,2.674444,2.258889,0.000000,0.000000,0.000000,0.000000,0.660000,9.205000,
