block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.167223,36301,9.989660,9.871439,9.895083,10.001482,33,0.459794,53,0.330652,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.485795,211.250000,5.347784,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.807222,39253,9.238394,9.129064,9.156396,9.249327,33,0.421879,53,0.316205,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.148443,211.250000,4.945607,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.294445,38330,9.460857,9.348894,9.371286,9.472054,33,0.433342,53,0.320532,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.248339,211.250000,5.064699,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.235556,40024,9.060431,8.953206,8.980013,9.071153,33,0.386393,53,0.306616,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.068530,211.250000,4.850338,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.282223,41908,8.653112,8.550709,8.576310,8.663353,33,0.407249,53,0.306910,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.885626,211.250000,4.632287,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.299999,41940,8.646511,8.544186,8.564651,8.656744,33,0.405866,53,0.322461,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.882662,211.250000,4.628753,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.805555,41050,8.833975,8.729430,8.755567,8.844429,33,0.405822,53,0.319294,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.966841,211.250000,4.729108,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.382778,42089,8.615901,8.513938,8.534330,8.626098,33,0.375633,53,0.315451,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.868917,211.250000,4.612367,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.331112,40196,9.021660,8.914895,8.936248,9.032336,33,0.383048,53,0.317295,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.051120,211.250000,4.829582,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978889,41362,8.767339,8.663583,8.689522,8.777714,33,0.384000,53,0.307770,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.936918,211.250000,4.693436,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.020555,41437,8.751470,8.647902,8.668615,8.761827,33,0.395588,53,0.305452,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.929793,211.250000,4.684941,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.886110,35795,10.130875,10.010983,10.040956,10.142864,33,0.444895,53,0.357396,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.549206,211.250000,5.423380,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.566668,37020,9.795641,9.679717,9.708698,9.807234,33,0.450621,53,0.359049,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.398672,211.250000,5.243919,
