block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,20.167223,36301,9.835973,10.155169,0.160337,0.044333,
1,vector0,NA,NA,21.807222,39253,9.096264,9.391456,0.148279,0.040999,
2,vector0,NA,NA,21.294445,38330,9.315306,9.617605,0.151850,0.041986,
3,vector0,NA,NA,22.235556,40024,8.921039,9.210544,0.145423,0.040209,
4,vector0,NA,NA,23.282223,41908,8.519988,8.796478,0.139525,0.038401,
5,vector0,NA,NA,23.299999,41940,8.513488,8.789766,0.139419,0.038372,
6,vector0,NA,NA,22.805555,41050,8.698068,8.980336,0.142441,0.039204,
7,vector0,NA,NA,23.382778,42089,8.483349,8.758650,0.138925,0.038236,
8,vector0,NA,NA,22.331112,40196,8.882865,9.171131,0.145468,0.040037,
9,vector0,NA,NA,22.978889,41362,8.632456,8.912596,0.142015,0.038908,
10,vector0,NA,NA,23.020555,41437,8.616832,8.896464,0.141758,0.038838,
11,vector0,NA,NA,19.886110,35795,9.975016,10.298724,0.164102,0.044960,
12,vector0,NA,NA,20.566668,37020,9.644939,9.957936,0.158672,0.043472,
13,vector0,NA,NA,19.807222,35653,10.014744,10.339742,0.164756,0.045139,
14,vector0,NA,NA,19.523333,35142,10.160369,10.490092,0.167915,0.045795,
15,vector0,NA,NA,20.716667,37290,9.575105,9.885836,0.158242,0.043157,
16,vector0,NA,NA,19.915556,35848,9.960267,10.283497,0.164608,0.044893,
17,vector0,NA,NA,20.320555,36577,9.761754,10.078542,0.161327,0.043998,
18,vector0,NA,NA,20.358889,36646,9.743374,10.059565,0.161023,0.043915,
19,vector0,NA,NA,20.223333,36402,9.808682,10.126993,0.162839,0.044210,
20,vector0,NA,NA,19.897778,35816,9.969167,10.292686,0.165504,0.044933,
21,vector0,NA,NA,21.995556,39592,9.018379,9.311043,0.149719,0.040648,
22,vector0,NA,NA,20.604445,37088,9.627255,9.939679,0.159827,0.043392,
23,vector0,NA,NA,21.027222,37849,9.433688,9.739830,0.156614,0.042520,
24,vector0,NA,NA,22.100555,39781,8.975533,9.266806,0.149682,0.040455,
25,vector0,NA,NA,21.660000,38988,9.158092,9.455289,0.152727,0.041277,
26,vector0,NA,NA,22.410000,40338,8.851596,9.138847,0.147615,0.039896,
27,vector0,NA,NA,22.983889,41371,8.630579,8.910658,0.143929,0.038900,
28,vector0,NA,NA,21.073889,37933,9.412798,9.718262,0.156974,0.042425,
29,vector0,NA,NA,22.449444,40409,8.836043,9.122790,0.148020,0.039826,
30,vector0,NA,NA,21.558889,38806,9.201042,9.499634,0.154134,0.041471,
31,vector0,NA,NA,21.620556,38917,9.174799,9.472539,0.153694,0.041353,
32,vector0,NA,NA,23.180000,41724,8.557561,8.835270,0.143355,0.038571,
33,vector0,NA,NA,22.631666,40737,8.764898,9.049336,0.146828,0.039505,
34,vector0,NA,NA,20.565556,37018,9.645461,9.958474,0.157231,0.043474,
35,vector0,NA,NA,22.587223,40657,8.782145,9.067142,0.139200,0.039583,
36,vector0,NA,NA,23.106667,41592,8.584720,8.863311,0.136071,0.038693,
37,vector0,NA,NA,22.320000,40176,8.887288,9.175697,0.140867,0.040057,
38,vector0,NA,NA,20.815001,37467,9.529870,9.839133,0.151052,0.042953,
39,vector0,NA,NA,9.924444,17864,7.687478,7.951735,0.136633,0.042041,
