block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.167223,36301,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.807222,39253,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.294445,38330,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.235556,40024,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.282223,41908,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.299999,41940,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.805555,41050,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.382778,42089,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.331112,40196,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.978889,41362,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.020555,41437,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.886110,35795,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.566668,37020,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.807222,35653,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.523333,35142,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.716667,37290,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.915556,35848,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.320555,36577,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.358889,36646,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.223333,36402,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.897778,35816,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.995556,39592,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.604445,37088,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.027222,37849,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.100555,39781,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.660000,38988,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.410000,40338,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.983889,41371,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.073889,37933,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.449444,40409,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.558889,38806,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.620556,38917,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.180000,41724,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.631666,40737,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.565556,37018,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.587223,40657,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.106667,41592,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.320000,40176,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.815001,37467,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,9.924444,17864,
