Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,GroupedMatmul,MIX_AIC,1,26.061,26.061,26.061,26.061,66.547
0,OnesLike,AI_VECTOR_CORE,2,13.1,4.88,6.55,8.22,33.453
