Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1787504124008215.313	,1787504124008215.333	
0,N/A,TASK_TIMEOUT_SET,49,4,85.761,1787504124017003.668	,1787504124017089.430	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,0,4.880,1787504124159178.249	,1787504124159183.129	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,1,8.220,1787504124159917.544	,1787504124159925.764	
0,GroupedMatmul_0d2d43751f81d7f29646a862147967c9_102439707,MIX_AIC,46,2,26.060,1787504124173015.366	,1787504124173041.426	
0,N/A,PROFILING_DISABLE,49,5,0.000,1787504124935876.507	,1787504124935876.507	
