block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.761110,35570,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.341110,42014,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.297777,41936,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.745001,40941,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.573889,38833,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.568333,42423,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.522778,42341,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.439444,42191,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.872778,41171,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.308889,41956,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.798889,41038,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.428888,34972,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.899445,37619,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.054445,36098,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.347221,36625,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.076111,36137,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.251112,38252,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.448889,38608,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.271111,36488,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.718334,37293,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.768888,37384,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.639444,37151,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.318333,36573,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.811111,37460,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.655556,38980,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.528889,38752,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.965555,39538,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.645555,38962,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.416666,38550,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.011667,39621,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.703333,35466,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.543888,38779,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.408890,40336,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.086111,39755,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.044445,39680,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.067223,41521,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.768888,40984,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.457222,40423,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.967777,39542,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.720555,19297,
