block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.761110,35570,0.076581,0.000000,0.000000,0.000000,0.059263,0.017290,114272,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.341110,42014,0.064836,0.000000,0.000000,0.000000,0.050174,0.014638,114272,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.297777,41936,0.064956,0.000000,0.000000,0.000000,0.050267,0.014665,114272,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.745001,40941,0.066535,0.000000,0.000000,0.000000,0.051489,0.015022,114272,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.573889,38833,0.070147,0.000000,0.000000,0.000000,0.054284,0.015837,114272,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.568333,42423,0.064210,0.000000,0.000000,0.000000,0.049690,0.014497,114272,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.522778,42341,0.064335,0.000000,0.000000,0.000000,0.049786,0.014525,114272,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.439444,42191,0.064564,0.000000,0.000000,0.000000,0.049963,0.014577,114272,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.872778,41171,0.066163,0.000000,0.000000,0.000000,0.051201,0.014938,114272,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.308889,41956,0.064925,0.000000,0.000000,0.000000,0.050243,0.014658,114272,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.798889,41038,0.066378,0.000000,0.000000,0.000000,0.051367,0.014986,114272,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.428888,34972,0.077891,0.000000,0.000000,0.000000,0.060277,0.017585,114272,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.899445,37619,0.072410,0.000000,0.000000,0.000000,0.056036,0.016348,114272,
