Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,GroupedMatmul,MIX_AIC,1,25.48,25.48,25.48,25.48,68.421
0,OnesLike,AI_VECTOR_CORE,2,11.76,4.14,5.88,7.62,31.579
