Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1787504172024463.499	,1787504172024463.499	
0,N/A,TASK_TIMEOUT_SET,49,4,86.301,1787504172033787.565	,1787504172033873.867	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,0,4.320,1787504172178152.989	,1787504172178157.309	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,1,8.360,1787504172178981.706	,1787504172178990.066	
0,GroupedMatmul_0d2d43751f81d7f29646a862147967c9_102439707,MIX_AIC,46,2,25.800,1787504172192599.478	,1787504172192625.278	
0,N/A,PROFILING_DISABLE,49,5,0.000,1787504172941510.941	,1787504172941510.941	
