block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.948889,37708,1.513333,0.072239,8.762222,0.418267,22.720207,7.379445,0.352259,27.300659,0.000000,11.427778,0.545508,2.668889,2.251667,0.000000,0.000000,0.000000,0.000000,0.399444,9.256111,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.064444,37916,1.513333,0.071843,9.276111,0.440368,21.461527,7.676111,0.364411,26.245543,0.000000,10.881111,0.516563,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,0.891667,10.102222,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.783890,41011,1.513333,0.066421,8.905000,0.390846,22.355925,7.761667,0.340665,25.956242,0.000000,12.973333,0.569408,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,0.525000,10.260555,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.767778,39182,1.513333,0.069522,9.175000,0.421495,21.698038,7.538889,0.346332,26.723261,0.000000,11.818334,0.542928,2.668889,2.251667,0.000000,0.000000,0.000000,0.000000,0.846667,9.965555,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.048334,41487,1.513333,0.065659,9.013333,0.391062,22.087223,7.398334,0.320992,27.230957,0.000000,13.271667,0.575819,2.668889,2.256111,0.000000,0.000000,0.000000,0.000000,0.738333,8.760000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.640556,42553,1.513333,0.064014,9.317223,0.394120,21.366829,6.526111,0.276056,30.870407,0.000000,13.623889,0.576293,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,0.873889,9.450556,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.463888,42235,1.513333,0.064496,9.603333,0.409281,20.730251,6.655556,0.283651,30.270004,0.000000,13.084444,0.557642,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,0.456111,9.054444,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.921667,41259,1.513333,0.066022,9.092222,0.396665,21.895586,6.502778,0.283696,30.981178,0.000000,13.173333,0.574711,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,0.320556,9.838333,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.784445,42812,1.513333,0.063627,9.177778,0.385873,21.691471,6.578889,0.276605,30.622757,0.000000,13.919444,0.585233,2.670000,2.254444,0.000000,0.000000,0.000000,0.000000,0.339444,9.937222,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.389444,42101,1.513333,0.064702,8.893333,0.380228,22.385252,6.842222,0.292535,29.444189,0.000000,13.661111,0.584072,2.670000,2.258889,0.000000,0.000000,0.000000,0.000000,0.238333,9.613889,
