block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.253334,38256,0.071205,0.000000,0.000000,0.000000,0.055102,0.016076,114272,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.695000,35451,0.076838,0.000000,0.000000,0.000000,0.059462,0.017348,114272,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.010555,37819,0.072027,0.000000,0.000000,0.000000,0.055739,0.016262,114272,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.791111,39224,0.069447,0.000000,0.000000,0.000000,0.053743,0.015679,114272,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.930000,37674,0.072305,0.000000,0.000000,0.000000,0.055954,0.016324,114272,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.991667,35985,0.075698,0.000000,0.000000,0.000000,0.058580,0.017090,114272,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.989445,39581,0.068821,0.000000,0.000000,0.000000,0.053258,0.015538,114272,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.213888,38185,0.071337,0.000000,0.000000,0.000000,0.055205,0.016106,114272,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.252777,40055,0.068006,0.000000,0.000000,0.000000,0.052628,0.015354,114272,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.559999,38808,0.070192,0.000000,0.000000,0.000000,0.054319,0.015847,114272,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.577778,38840,0.070134,0.000000,0.000000,0.000000,0.054274,0.015834,114272,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.333334,40200,0.067761,0.000000,0.000000,0.000000,0.052438,0.015299,114272,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.726667,37308,0.073014,0.000000,0.000000,0.000000,0.056503,0.016484,114272,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.313889,38365,0.071002,0.000000,0.000000,0.000000,0.054946,0.016030,114272,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.429445,38573,0.070619,0.000000,0.000000,0.000000,0.054650,0.015944,114272,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.422777,42161,0.064609,0.000000,0.000000,0.000000,0.049999,0.014587,114272,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.699444,40859,0.066668,0.000000,0.000000,0.000000,0.051592,0.015052,114272,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.026112,41447,0.065722,0.000000,0.000000,0.000000,0.050860,0.014838,114272,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.653889,38977,0.069887,0.000000,0.000000,0.000000,0.054083,0.015779,114272,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.609444,40697,0.066934,0.000000,0.000000,0.000000,0.051797,0.015112,114272,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.108889,39796,0.068449,0.000000,0.000000,0.000000,0.052970,0.015454,114272,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.473333,42252,0.064470,0.000000,0.000000,0.000000,0.049891,0.014556,114272,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.535555,38764,0.070271,0.000000,0.000000,0.000000,0.054380,0.015865,114272,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.379999,42084,0.064728,0.000000,0.000000,0.000000,0.050090,0.014614,114272,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.408890,40336,0.067533,0.000000,0.000000,0.000000,0.052261,0.015247,114272,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.586111,19055,0.056468,0.000000,0.000000,0.000000,0.043086,0.013330,44128,
