block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.948889,37708,0.072239,0.000000,0.000000,0.000000,0.055903,0.016310,114272,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.064444,37916,0.071843,0.000000,0.000000,0.000000,0.055597,0.016220,114272,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.783890,41011,0.066421,0.000000,0.000000,0.000000,0.051401,0.014996,114272,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.767778,39182,0.069522,0.000000,0.000000,0.000000,0.053800,0.015696,114272,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.048334,41487,0.065659,0.000000,0.000000,0.000000,0.050811,0.014824,114272,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.640556,42553,0.064014,0.000000,0.000000,0.000000,0.049538,0.014453,114272,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.463888,42235,0.064496,0.000000,0.000000,0.000000,0.049911,0.014561,114272,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.921667,41259,0.066022,0.000000,0.000000,0.000000,0.051092,0.014906,114272,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.784445,42812,0.063627,0.000000,0.000000,0.000000,0.049239,0.014365,114272,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.389444,42101,0.064702,0.000000,0.000000,0.000000,0.050070,0.014608,114272,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.547777,38786,0.070232,0.000000,0.000000,0.000000,0.054350,0.015856,114272,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.964445,37736,0.072186,0.000000,0.000000,0.000000,0.055862,0.016297,114272,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.471666,38649,0.070480,0.000000,0.000000,0.000000,0.054542,0.015912,114272,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.768888,40984,0.066465,0.000000,0.000000,0.000000,0.051435,0.015006,114272,
