block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,20.948889,37708,9.468964,9.776249,0.154354,0.042679,
1,vector0,NA,NA,21.064444,37916,9.417019,9.722619,0.153508,0.042444,
2,vector0,NA,NA,22.783890,41011,8.706339,8.988876,0.141923,0.039241,
3,vector0,NA,NA,21.767778,39182,9.112747,9.408473,0.148548,0.041073,
4,vector0,NA,NA,23.048334,41487,8.606446,8.885742,0.140941,0.038791,
5,vector0,NA,NA,23.640556,42553,8.390845,8.663145,0.137410,0.037819,
6,vector0,NA,NA,23.463888,42235,8.454023,8.728373,0.138445,0.038104,
7,vector0,NA,NA,22.921667,41259,8.654007,8.934846,0.141720,0.039005,
8,vector0,NA,NA,23.784445,42812,8.340083,8.610735,0.136579,0.037591,
9,vector0,NA,NA,23.389444,42101,8.480930,8.756153,0.139523,0.038225,
10,vector0,NA,NA,21.547777,38786,9.205788,9.504533,0.151447,0.041492,
11,vector0,NA,NA,20.964445,37736,9.461937,9.768995,0.155661,0.042647,
12,vector0,NA,NA,21.471666,38649,9.238420,9.538224,0.151984,0.041640,
13,vector0,NA,NA,22.768888,40984,8.712074,8.994799,0.143325,0.039267,
14,vector0,NA,NA,21.253334,38256,9.333324,9.636209,0.154247,0.042067,
15,vector0,NA,NA,19.695000,35451,10.071808,10.398658,0.166451,0.045396,
16,vector0,NA,NA,21.010555,37819,9.441172,9.747556,0.156029,0.042553,
17,vector0,NA,NA,21.791111,39224,9.102989,9.398399,0.150440,0.041029,
18,vector0,NA,NA,20.930000,37674,9.477509,9.785072,0.156630,0.042717,
19,vector0,NA,NA,19.991667,35985,9.922347,10.244347,0.164726,0.044722,
20,vector0,NA,NA,21.989445,39581,9.020885,9.313630,0.149761,0.040659,
21,vector0,NA,NA,21.213888,38185,9.350679,9.654126,0.155236,0.042145,
22,vector0,NA,NA,22.252777,40055,8.914135,9.203416,0.147989,0.040178,
23,vector0,NA,NA,21.559999,38808,9.200569,9.499145,0.152744,0.041469,
24,vector0,NA,NA,21.577778,38840,9.192988,9.491319,0.153309,0.041435,
25,vector0,NA,NA,22.333334,40200,8.881982,9.170218,0.148122,0.040033,
26,vector0,NA,NA,20.726667,37308,9.570485,9.881065,0.159604,0.043136,
27,vector0,NA,NA,21.313889,38365,9.306808,9.608831,0.155207,0.041948,
28,vector0,NA,NA,21.429445,38573,9.256621,9.557016,0.154370,0.041722,
29,vector0,NA,NA,23.422777,42161,8.468862,8.743692,0.141869,0.038171,
30,vector0,NA,NA,22.699444,40859,8.738728,9.022316,0.146389,0.039387,
31,vector0,NA,NA,23.026112,41447,8.614753,8.894318,0.144313,0.038829,
32,vector0,NA,NA,21.653889,38977,9.160676,9.457957,0.153458,0.041289,
33,vector0,NA,NA,22.609444,40697,8.773514,9.058230,0.146972,0.039544,
34,vector0,NA,NA,22.108889,39796,8.972150,9.263313,0.146256,0.040439,
35,vector0,NA,NA,23.473333,42252,8.450622,8.724860,0.133945,0.038089,
36,vector0,NA,NA,21.535555,38764,9.211012,9.509927,0.145998,0.041516,
37,vector0,NA,NA,23.379999,42084,8.484357,8.759690,0.134480,0.038241,
38,vector0,NA,NA,22.408890,40336,8.852035,9.139299,0.140308,0.039898,
39,vector0,NA,NA,10.586111,19055,7.206985,7.454725,0.128093,0.039413,
