block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.948889,37708,9.616916,9.503106,9.525868,9.628297,33,0.418267,53,0.352259,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.318416,211.250000,5.148242,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.064444,37916,9.564159,9.450974,9.479271,9.575479,33,0.440368,53,0.364411,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.294726,211.250000,5.120000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.783890,41011,8.842375,8.737732,8.758660,8.852839,33,0.390846,53,0.340665,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.970613,211.250000,4.733605,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.767778,39182,9.255134,9.145605,9.172988,9.266087,33,0.421495,53,0.346332,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.155960,211.250000,4.954568,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.048334,41487,8.740922,8.637480,8.663341,8.751266,33,0.391062,53,0.320992,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.925057,211.250000,4.679295,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.640556,42553,8.521953,8.421101,8.441272,8.532038,33,0.394120,53,0.276056,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.826729,211.250000,4.562073,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.463888,42235,8.586118,8.484507,8.509910,8.596278,33,0.409281,53,0.283651,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.855543,211.250000,4.596423,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.921667,41259,8.789226,8.685211,8.706014,8.799627,33,0.396665,53,0.283696,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.946747,211.250000,4.705153,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.784445,42812,8.470397,8.370156,8.390204,8.480421,33,0.385873,53,0.276605,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.803579,211.250000,4.534473,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.389444,42101,8.613445,8.511511,8.536995,8.623639,33,0.380228,53,0.292535,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.867814,211.250000,4.611052,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.547777,38786,9.349627,9.238981,9.261110,9.360693,33,0.429562,53,0.345872,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.198392,211.250000,5.005154,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.964445,37736,9.609779,9.496055,9.524487,9.621152,33,0.439156,53,0.374920,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.315212,211.250000,5.144421,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.471666,38649,9.382770,9.271731,9.299491,9.393873,33,0.424202,53,0.362441,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.213274,211.250000,5.022896,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.768888,40984,8.848201,8.743488,8.764431,8.858672,33,0.371291,53,0.307608,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.973229,211.250000,4.736724,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.253334,38256,9.479157,9.366978,9.395023,9.490376,33,0.440611,53,0.337673,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.256556,211.250000,5.074495,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.695000,35451,10.229180,10.108125,10.132336,10.241285,33,0.438690,53,0.372289,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.593349,211.250000,5.476007,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.010555,37819,9.588690,9.475214,9.497910,9.600038,33,0.442582,53,0.348132,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.305741,211.250000,5.133132,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.791111,39224,9.245224,9.135813,9.163166,9.256165,33,0.433918,53,0.335942,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.151510,211.250000,4.949263,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.930000,37674,9.625595,9.511683,9.534465,9.636986,33,0.430721,53,0.344508,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.322313,211.250000,5.152888,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.991667,35985,10.077384,9.958125,9.987940,10.089310,33,0.444769,53,0.352480,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.525187,211.250000,5.394745,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.989445,39581,9.161837,9.053412,9.080519,9.172679,33,0.407519,53,0.316414,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.114066,211.250000,4.904624,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.213888,38185,9.496783,9.384396,9.406873,9.508022,33,0.420086,53,0.331099,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.264472,211.250000,5.083931,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.252777,40055,9.053418,8.946278,8.973063,9.064133,33,0.407140,53,0.317414,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.065381,211.250000,4.846583,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.559999,38808,9.344328,9.233744,9.255860,9.355386,33,0.433210,53,0.338178,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.196012,211.250000,5.002317,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.577778,38840,9.336629,9.226136,9.248235,9.347678,33,0.393692,53,0.335711,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.192555,211.250000,4.998195,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.333334,40200,9.020762,8.914008,8.940697,9.031438,33,0.399801,53,0.318284,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.050717,211.250000,4.829102,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.726667,37308,9.720024,9.604994,9.628000,9.731526,33,0.404471,53,0.360218,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.364716,211.250000,5.203439,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.313889,38365,9.452227,9.340365,9.368331,9.463412,33,0.409748,53,0.323263,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.244463,211.250000,5.060078,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.429445,38573,9.401256,9.289998,9.317813,9.412382,33,0.390403,53,0.322920,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.221575,211.250000,5.032792,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.422777,42161,8.601188,8.499398,8.519756,8.611366,33,0.383150,53,0.310643,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.862309,211.250000,4.604490,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.699444,40859,8.875270,8.770238,8.796496,8.885774,33,0.408943,53,0.324213,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.985385,211.250000,4.751215,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.026112,41447,8.749358,8.645816,8.666524,8.759712,33,0.384274,53,0.312399,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.928845,211.250000,4.683810,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.653889,38977,9.303811,9.193707,9.215728,9.314822,33,0.419760,53,0.347897,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.177818,211.250000,4.980627,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.609444,40697,8.910600,8.805149,8.831511,8.921144,33,0.411947,53,0.331769,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.001249,211.250000,4.770128,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.108889,39796,9.112340,9.004501,9.026069,9.123123,33,0.422027,53,0.329706,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.091839,211.250000,4.878126,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.473333,42252,8.582663,8.481092,8.506485,8.592819,33,0.368598,53,0.297430,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.853991,211.250000,4.594573,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.535555,38764,9.354935,9.244225,9.271903,9.366005,33,0.403261,53,0.325457,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.200775,211.250000,5.007995,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.379999,42084,8.616925,8.514950,8.535345,8.627123,33,0.394021,53,0.303940,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.869377,211.250000,4.612915,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.408890,40336,8.990347,8.883952,8.910552,9.000987,33,0.399767,53,0.314632,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,4.037059,211.250000,4.812819,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.586111,19055,7.319594,7.263290,7.308333,7.342116,17,0.371713,21,0.255471,81.125000,81.500000,NA,NA,NA,NA,NA,NA,NA,NA,80.625000,3.300595,81.250000,3.918412,
