Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,GroupedMatmul,MIX_AIC,1,25.8,25.8,25.8,25.8,67.048
0,OnesLike,AI_VECTOR_CORE,2,12.68,4.32,6.34,8.36,32.952
