block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.115555,36208,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.047777,36086,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.177778,39920,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.738333,40929,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.259445,41867,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.168333,41703,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.477222,42259,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.813889,41065,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.381111,42086,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.834999,41103,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.241667,40035,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.900000,41220,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.276667,41898,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,23.375000,42075,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.825001,35685,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.157223,36283,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.959444,39527,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.216110,38189,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.235001,38223,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.577223,37039,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.443890,36799,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,19.578888,35242,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.084999,37953,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.138334,36249,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.287777,38318,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.038889,39670,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.309444,38357,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.796112,39233,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.215555,38188,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.071112,37928,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.770000,37386,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,20.365000,36657,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.893333,39408,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.459999,40428,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,21.719444,39095,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.825556,41086,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.889999,41202,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.583889,40651,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,22.959999,41328,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.304444,18548,
