block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,20.115555,36208,0.000000,0.000000,0.000000,0.000000,0.000000,0.453546,0.000470,0.337660,
1,vector0,NA,NA,NA,NA,NA,NA,20.047777,36086,0.000000,0.000000,0.000000,0.000000,0.000000,0.415840,0.000527,0.331597,
2,vector0,NA,NA,NA,NA,NA,NA,22.177778,39920,0.000000,0.000000,0.000000,0.000000,0.000000,0.383091,0.000426,0.300000,
3,vector0,NA,NA,NA,NA,NA,NA,22.738333,40929,0.000000,0.000000,0.000000,0.000000,0.000000,0.379657,0.000464,0.298566,
4,vector0,NA,NA,NA,NA,NA,NA,23.259445,41867,0.000000,0.000000,0.000000,0.000000,0.000000,0.374949,0.000406,0.278167,
5,vector0,NA,NA,NA,NA,NA,NA,23.168333,41703,0.000000,0.000000,0.000000,0.000000,0.000000,0.376088,0.000480,0.294343,
6,vector0,NA,NA,NA,NA,NA,NA,23.477222,42259,0.000000,0.000000,0.000000,0.000000,0.000000,0.379398,0.000473,0.296623,
7,vector0,NA,NA,NA,NA,NA,NA,22.813889,41065,0.000000,0.000000,0.000000,0.000000,0.000000,0.392256,0.000463,0.306709,
8,vector0,NA,NA,NA,NA,NA,NA,23.381111,42086,0.000000,0.000000,0.000000,0.000000,0.000000,0.366298,0.000451,0.302262,
9,vector0,NA,NA,NA,NA,NA,NA,22.834999,41103,0.000000,0.000000,0.000000,0.000000,0.000000,0.359414,0.000462,0.306231,
10,vector0,NA,NA,NA,NA,NA,NA,22.241667,40035,0.000000,0.000000,0.000000,0.000000,0.000000,0.369152,0.000425,0.313401,
11,vector0,NA,NA,NA,NA,NA,NA,22.900000,41220,0.000000,0.000000,0.000000,0.000000,0.000000,0.392382,0.000412,0.294517,
12,vector0,NA,NA,NA,NA,NA,NA,23.276667,41898,0.000000,0.000000,0.000000,0.000000,0.000000,0.367392,0.000406,0.296888,
13,vector0,NA,NA,NA,NA,NA,NA,23.375000,42075,0.000000,0.000000,0.000000,0.000000,0.000000,0.378229,0.000404,0.282115,
14,vector0,NA,NA,NA,NA,NA,NA,19.825001,35685,0.000000,0.000000,0.000000,0.000000,0.000000,0.433459,0.000476,0.338742,
15,vector0,NA,NA,NA,NA,NA,NA,20.157223,36283,0.000000,0.000000,0.000000,0.000000,0.000000,0.447951,0.000524,0.345864,
16,vector0,NA,NA,NA,NA,NA,NA,21.959444,39527,0.000000,0.000000,0.000000,0.000000,0.000000,0.420219,0.000481,0.299163,
17,vector0,NA,NA,NA,NA,NA,NA,21.216110,38189,0.000000,0.000000,0.000000,0.000000,0.000000,0.429522,0.000498,0.307654,
18,vector0,NA,NA,NA,NA,NA,NA,21.235001,38223,0.000000,0.000000,0.000000,0.000000,0.000000,0.419695,0.000497,0.338958,
19,vector0,NA,NA,NA,NA,NA,NA,20.577223,37039,0.000000,0.000000,0.000000,0.000000,0.000000,0.437566,0.000513,0.357407,
20,vector0,NA,NA,NA,NA,NA,NA,20.443890,36799,0.000000,0.000000,0.000000,0.000000,0.000000,0.432104,0.000462,0.375853,
21,vector0,NA,NA,NA,NA,NA,NA,19.578888,35242,0.000000,0.000000,0.000000,0.000000,0.000000,0.429034,0.000539,0.349413,
22,vector0,NA,NA,NA,NA,NA,NA,21.084999,37953,0.000000,0.000000,0.000000,0.000000,0.000000,0.438463,0.000501,0.332121,
23,vector0,NA,NA,NA,NA,NA,NA,20.138334,36249,0.000000,0.000000,0.000000,0.000000,0.000000,0.422743,0.000524,0.350106,
24,vector0,NA,NA,NA,NA,NA,NA,21.287777,38318,0.000000,0.000000,0.000000,0.000000,0.000000,0.412261,0.000444,0.288559,
25,vector0,NA,NA,NA,NA,NA,NA,22.038889,39670,0.000000,0.000000,0.000000,0.000000,0.000000,0.414520,0.000429,0.324880,
26,vector0,NA,NA,NA,NA,NA,NA,21.309444,38357,0.000000,0.000000,0.000000,0.000000,0.000000,0.389003,0.000443,0.310556,
27,vector0,NA,NA,NA,NA,NA,NA,21.796112,39233,0.000000,0.000000,0.000000,0.000000,0.000000,0.400760,0.000484,0.328881,
28,vector0,NA,NA,NA,NA,NA,NA,21.215555,38188,0.000000,0.000000,0.000000,0.000000,0.000000,0.383733,0.000445,0.315020,
29,vector0,NA,NA,NA,NA,NA,NA,21.071112,37928,0.000000,0.000000,0.000000,0.000000,0.000000,0.407904,0.000448,0.340725,
30,vector0,NA,NA,NA,NA,NA,NA,20.770000,37386,0.000000,0.000000,0.000000,0.000000,0.000000,0.391002,0.000455,0.333628,
31,vector0,NA,NA,NA,NA,NA,NA,20.365000,36657,0.000000,0.000000,0.000000,0.000000,0.000000,0.398232,0.000464,0.328505,
32,vector0,NA,NA,NA,NA,NA,NA,21.893333,39408,0.000000,0.000000,0.000000,0.000000,0.000000,0.419306,0.000431,0.313363,
33,vector0,NA,NA,NA,NA,NA,NA,22.459999,40428,0.000000,0.000000,0.000000,0.000000,0.000000,0.403780,0.000421,0.289403,
