block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.115555,36208,0.075232,0.000000,0.000000,0.000000,0.058219,0.016985,114272,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.047777,36086,0.075486,0.000000,0.000000,0.000000,0.058416,0.017043,114272,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.177778,39920,0.068236,0.000000,0.000000,0.000000,0.052806,0.015406,114272,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.738333,40929,0.066554,0.000000,0.000000,0.000000,0.051504,0.015026,114272,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.259445,41867,0.065063,0.000000,0.000000,0.000000,0.050350,0.014689,114272,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.168333,41703,0.065319,0.000000,0.000000,0.000000,0.050548,0.014747,114272,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.477222,42259,0.064460,0.000000,0.000000,0.000000,0.049883,0.014553,114272,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.813889,41065,0.066334,0.000000,0.000000,0.000000,0.051333,0.014976,114272,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.381111,42086,0.064725,0.000000,0.000000,0.000000,0.050088,0.014613,114272,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.834999,41103,0.066273,0.000000,0.000000,0.000000,0.051286,0.014962,114272,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.241667,40035,0.068040,0.000000,0.000000,0.000000,0.052654,0.015362,114272,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.900000,41220,0.066084,0.000000,0.000000,0.000000,0.051140,0.014920,114272,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.276667,41898,0.065015,0.000000,0.000000,0.000000,0.050313,0.014679,114272,
