block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.084999,37953,28,416,3,827,6,839,6.306306,0.537313,1.746107,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.138334,36249,26,418,4,830,5,835,5.855856,0.537634,1.652502,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.287777,38318,26,418,5,835,4,830,5.855856,0.537634,1.652502,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.038889,39670,26,418,7,829,3,836,5.855856,0.597015,1.698915,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.309444,38357,28,416,3,836,6,829,6.306306,0.537634,1.746931,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.796112,39233,26,418,3,824,4,844,5.855856,0.417910,1.557338,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.215555,38188,26,418,4,844,6,821,5.855856,0.597015,1.698915,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.071112,37928,26,418,5,835,3,831,5.855856,0.477897,1.605288,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.770000,37386,26,418,5,830,5,835,5.855856,0.597015,1.698915,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.365000,36657,26,418,6,823,3,842,5.855856,0.537634,1.652502,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.893333,39408,26,418,3,842,6,823,5.855856,0.537634,1.652502,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.459999,40428,28,416,4,832,5,834,6.306306,0.537313,1.746107,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.719444,39095,26,418,5,833,4,832,5.855856,0.537634,1.652502,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.825556,41086,26,418,5,835,3,832,5.855856,0.477612,1.604530,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.889999,41202,26,418,3,832,7,833,5.855856,0.597015,1.698915,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.583889,40651,26,418,3,837,5,829,5.855856,0.477897,1.605288,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.959999,41328,28,416,6,829,4,836,6.306306,0.597015,1.793299,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.304444,18548,10,162,4,325,3,317,5.813953,1.078582,2.070646,
