block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.115555,36208,26,418,2,831,1,840,5.855856,0.179211,1.369216,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.047777,36086,28,416,5,840,5,825,6.306306,0.597015,1.793299,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.177778,39920,26,418,5,825,4,840,5.855856,0.537634,1.652502,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.738333,40929,26,418,5,833,4,833,5.855856,0.537313,1.651723,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.259445,41867,26,418,5,832,5,833,5.855856,0.597015,1.698915,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.168333,41703,26,418,3,832,6,833,5.855856,0.537634,1.652502,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.477222,42259,28,416,6,833,4,832,6.306306,0.597015,1.793299,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.813889,41065,26,418,3,833,4,834,5.855856,0.418160,1.558074,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.381111,42086,26,418,5,833,4,832,5.855856,0.537634,1.652502,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.834999,41103,26,418,4,833,6,832,5.855856,0.597015,1.698915,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.241667,40035,28,416,6,832,3,833,6.306306,0.537634,1.746931,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.900000,41220,26,418,4,835,6,830,5.855856,0.597015,1.698915,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.276667,41898,26,418,7,829,2,837,5.855856,0.537313,1.651723,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.375000,42075,26,418,3,834,4,833,5.855856,0.418160,1.558074,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.825001,35685,26,418,4,834,5,832,5.855856,0.537313,1.651723,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.157223,36283,26,418,6,836,3,829,5.855856,0.537634,1.652502,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.959444,39527,26,418,3,829,6,836,5.855856,0.537634,1.652502,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.216110,38189,28,416,7,843,3,822,6.306306,0.597015,1.793299,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.235001,38223,26,418,3,822,6,843,5.855856,0.537634,1.652502,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.577223,37039,26,418,5,834,2,834,5.855856,0.417910,1.557338,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.443890,36799,26,418,3,833,7,832,5.855856,0.597015,1.698915,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.578888,35242,26,418,6,838,3,827,5.855856,0.537634,1.652502,
