block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.202223,48964,26,418,1,836,2,835,5.855856,0.179211,1.369216,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.459444,53027,28,416,6,832,4,833,6.306306,0.597015,1.793299,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.802221,50044,26,418,4,833,4,833,5.855856,0.477897,1.605288,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.837223,48307,26,418,4,833,6,832,5.855856,0.597015,1.698915,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.919445,53855,26,418,3,827,6,839,5.855856,0.537313,1.651723,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.867222,55561,28,416,6,838,3,827,6.306306,0.537634,1.746931,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.443333,54798,26,418,6,827,4,838,5.855856,0.597015,1.698915,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.521667,49539,26,418,4,838,5,827,5.855856,0.537634,1.652502,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.076111,52337,26,418,4,833,5,832,5.855856,0.537634,1.652502,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.881666,53787,26,418,4,833,5,833,5.855856,0.537313,1.651723,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.968889,53944,26,418,4,835,3,832,5.855856,0.418160,1.558074,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.908890,52036,26,418,4,832,6,833,5.855856,0.597015,1.698915,
