block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.196667,54354,28,416,4,834,6,831,6.306306,0.597015,1.793299,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.972221,52150,26,418,5,831,4,834,5.855856,0.537634,1.652502,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.201666,45363,26,418,4,834,5,832,5.855856,0.537313,1.651723,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.632223,51538,26,418,5,832,4,833,5.855856,0.537634,1.652502,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.419445,47555,26,418,4,837,3,830,5.855856,0.418160,1.558074,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.731112,48116,28,416,5,828,5,837,6.306306,0.597015,1.793299,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.123888,50623,26,418,4,828,4,838,5.855856,0.477897,1.605288,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.439444,52991,26,418,5,837,5,828,5.855856,0.597015,1.698915,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.585556,46054,26,418,3,831,6,835,5.855856,0.537313,1.651723,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.564444,47816,28,416,6,835,3,830,6.306306,0.537634,1.746931,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.908333,50235,26,418,3,836,6,830,5.855856,0.537313,1.651723,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.825556,50086,26,418,5,830,4,835,5.855856,0.537634,1.652502,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.327778,45590,26,418,4,833,3,834,5.855856,0.418160,1.558074,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.334444,51002,26,418,4,834,6,831,5.855856,0.597015,1.698915,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.067778,46922,26,418,4,841,5,824,5.855856,0.537634,1.652502,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.702223,49864,28,416,5,824,5,841,6.306306,0.597015,1.793299,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.811111,48260,26,418,5,832,4,834,5.855856,0.537313,1.651723,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.395555,52912,26,418,3,834,6,831,5.855856,0.537634,1.652502,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.471666,45849,26,418,5,833,4,833,5.855856,0.537313,1.651723,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.246111,54443,26,418,5,832,4,833,5.855856,0.537634,1.652502,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.674999,46215,26,418,3,832,4,835,5.855856,0.418160,1.558074,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.901112,53822,28,416,6,833,4,832,6.306306,0.597015,1.793299,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.921112,46658,26,418,5,833,3,833,5.855856,0.477897,1.605288,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.268888,49084,26,418,4,832,6,833,5.855856,0.597015,1.698915,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.820555,51877,26,418,4,834,5,832,5.855856,0.537313,1.651723,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.978333,52161,26,418,5,831,4,834,5.855856,0.537634,1.652502,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.262222,50872,28,416,6,833,4,832,6.306306,0.597015,1.793299,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.352777,31235,10,162,2,321,5,321,5.813953,1.078582,2.070646,
