block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.202223,48964,0.055633,0.000000,0.000000,0.000000,0.043052,0.012560,114272,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.459444,53027,0.051445,0.000000,0.000000,0.000000,0.039810,0.011617,114272,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.802221,50044,0.054512,0.000000,0.000000,0.000000,0.042183,0.012309,114272,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.837223,48307,0.056472,0.000000,0.000000,0.000000,0.043700,0.012752,114272,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.919445,53855,0.050655,0.000000,0.000000,0.000000,0.039198,0.011438,114272,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.867222,55561,0.049099,0.000000,0.000000,0.000000,0.037994,0.011087,114272,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.443333,54798,0.049783,0.000000,0.000000,0.000000,0.038523,0.011241,114272,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.521667,49539,0.055068,0.000000,0.000000,0.000000,0.042613,0.012435,114272,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.076111,52337,0.052124,0.000000,0.000000,0.000000,0.040335,0.011770,114272,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.881666,53787,0.050719,0.000000,0.000000,0.000000,0.039247,0.011453,114272,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.968889,53944,0.050571,0.000000,0.000000,0.000000,0.039133,0.011419,114272,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.908890,52036,0.052425,0.000000,0.000000,0.000000,0.040568,0.011838,114272,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.196667,54354,0.050410,0.000000,0.000000,0.000000,0.039004,0.011388,114272,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.972221,52150,0.052311,0.000000,0.000000,0.000000,0.040479,0.011812,114272,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.201666,45363,0.060137,0.000000,0.000000,0.000000,0.046536,0.013579,114272,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.632223,51538,0.052932,0.000000,0.000000,0.000000,0.040960,0.011952,114272,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.419445,47555,0.057617,0.000000,0.000000,0.000000,0.044580,0.013017,114272,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.731112,48116,0.056946,0.000000,0.000000,0.000000,0.044060,0.012865,114272,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.123888,50623,0.054047,0.000000,0.000000,0.000000,0.041819,0.012208,114272,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.439444,52991,0.051480,0.000000,0.000000,0.000000,0.039837,0.011625,114272,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.585556,46054,0.059235,0.000000,0.000000,0.000000,0.045837,0.013376,114272,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.564444,47816,0.057303,0.000000,0.000000,0.000000,0.044337,0.012945,114272,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.908333,50235,0.054225,0.000000,0.000000,0.000000,0.041963,0.012242,114272,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.825556,50086,0.054706,0.000000,0.000000,0.000000,0.042327,0.012359,114272,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.327778,45590,0.060101,0.000000,0.000000,0.000000,0.046501,0.013578,114272,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.334444,51002,0.053723,0.000000,0.000000,0.000000,0.041567,0.012137,114272,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.067778,46922,0.058139,0.000000,0.000000,0.000000,0.044990,0.013128,114272,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.702223,49864,0.054949,0.000000,0.000000,0.000000,0.042516,0.012414,114272,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.811111,48260,0.056776,0.000000,0.000000,0.000000,0.043929,0.012826,114272,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.395555,52912,0.051557,0.000000,0.000000,0.000000,0.039896,0.011642,114272,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.471666,45849,0.059500,0.000000,0.000000,0.000000,0.046042,0.013435,114272,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.246111,54443,0.050328,0.000000,0.000000,0.000000,0.038940,0.011370,114272,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.674999,46215,0.059028,0.000000,0.000000,0.000000,0.045678,0.013329,114272,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.901112,53822,0.050909,0.000000,0.000000,0.000000,0.039389,0.011501,114272,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.921112,46658,0.058468,0.000000,0.000000,0.000000,0.045244,0.013202,114272,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.268888,49084,0.055578,0.000000,0.000000,0.000000,0.043008,0.012550,114272,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.820555,51877,0.052586,0.000000,0.000000,0.000000,0.040692,0.011874,114272,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.978333,52161,0.052530,0.000000,0.000000,0.000000,0.040643,0.011867,114272,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.262222,50872,0.053625,0.000000,0.000000,0.000000,0.041496,0.012109,114272,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.352777,31235,0.034961,0.000000,0.000000,0.000000,0.026669,0.008260,44128,
