block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,27.202223,48964,7.292208,7.528854,0.118871,0.032868,
1,vector0,NA,NA,29.459444,53027,6.733469,6.951983,0.109763,0.030349,
2,vector0,NA,NA,27.802221,50044,7.134835,7.366374,0.116306,0.032158,
3,vector0,NA,NA,26.837223,48307,7.391386,7.631250,0.120488,0.033315,
4,vector0,NA,NA,29.919445,53855,6.629944,6.845099,0.108573,0.029883,
5,vector0,NA,NA,30.867222,55561,6.426372,6.634921,0.105240,0.028965,
6,vector0,NA,NA,30.443333,54798,6.515852,6.727304,0.106705,0.029368,
7,vector0,NA,NA,27.521667,49539,7.207567,7.441466,0.118033,0.032486,
8,vector0,NA,NA,29.076111,52337,6.822242,7.043637,0.111722,0.030749,
9,vector0,NA,NA,29.881666,53787,6.638327,6.853753,0.109209,0.029920,
10,vector0,NA,NA,29.968889,53944,6.619006,6.833806,0.108891,0.029833,
11,vector0,NA,NA,28.908890,52036,6.861704,7.084380,0.112884,0.030927,
12,vector0,NA,NA,30.196667,54354,6.569078,6.782257,0.108070,0.029608,
13,vector0,NA,NA,28.972221,52150,6.846705,7.068894,0.112637,0.030860,
14,vector0,NA,NA,25.201666,45363,7.871077,8.126509,0.130081,0.035477,
15,vector0,NA,NA,28.632223,51538,6.928008,7.152835,0.114495,0.031226,
16,vector0,NA,NA,26.419445,47555,7.508267,7.751925,0.124085,0.033841,
17,vector0,NA,NA,26.731112,48116,7.420726,7.661543,0.122638,0.033447,
18,vector0,NA,NA,28.123888,50623,7.053230,7.282121,0.116565,0.031790,
19,vector0,NA,NA,29.439444,52991,6.738044,6.956706,0.111862,0.030370,
20,vector0,NA,NA,25.585556,46054,7.752978,8.004578,0.128712,0.034944,
21,vector0,NA,NA,26.564444,47816,7.467285,7.709612,0.123969,0.033657,
22,vector0,NA,NA,27.908333,50235,7.107707,7.338366,0.117999,0.032036,
23,vector0,NA,NA,27.825556,50086,7.128851,7.360197,0.118350,0.032131,
24,vector0,NA,NA,25.327778,45590,7.831885,8.086045,0.130610,0.035300,
25,vector0,NA,NA,28.334444,51002,7.000817,7.228007,0.116750,0.031554,
26,vector0,NA,NA,26.067778,46922,7.609558,7.856503,0.126902,0.034298,
27,vector0,NA,NA,27.702223,49864,7.160590,7.392965,0.119415,0.032274,
28,vector0,NA,NA,26.811111,48260,7.398584,7.638682,0.123384,0.033347,
29,vector0,NA,NA,29.395555,52912,6.748104,6.967093,0.113043,0.030415,
30,vector0,NA,NA,25.471666,45849,7.787643,8.040367,0.130457,0.035101,
31,vector0,NA,NA,30.246111,54443,6.558339,6.771170,0.109864,0.029560,
32,vector0,NA,NA,25.674999,46215,7.725969,7.976692,0.129424,0.034823,
33,vector0,NA,NA,29.901112,53822,6.634009,6.849296,0.111132,0.029901,
34,vector0,NA,NA,25.921112,46658,7.652614,7.900956,0.124746,0.034492,
35,vector0,NA,NA,27.268888,49084,7.274380,7.510448,0.115302,0.032787,
36,vector0,NA,NA,28.820555,51877,6.882736,7.106093,0.109094,0.031022,
37,vector0,NA,NA,28.978333,52161,6.845261,7.067403,0.108500,0.030853,
38,vector0,NA,NA,28.262222,50872,7.018707,7.246478,0.111249,0.031635,
39,vector0,NA,NA,17.352777,31235,4.396642,4.547776,0.078143,0.024044,
