block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.202223,48964,7.406148,7.318501,7.336031,7.414913,33,0.383302,53,0.309779,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.325685,211.250000,3.964748,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.459444,53027,6.838680,6.757749,6.777982,6.846773,33,0.306033,53,0.322402,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.070866,211.250000,3.660964,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.802221,50044,7.246316,7.160562,7.177712,7.254892,33,0.323276,53,0.302953,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.253913,211.250000,3.879184,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.837223,48307,7.506876,7.418037,7.440247,7.515759,33,0.347838,53,0.328959,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.370916,211.250000,4.018670,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.919445,53855,6.733537,6.653851,6.673772,6.741506,33,0.290409,53,0.293213,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.023653,211.250000,3.604677,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.867222,55561,6.526784,6.449544,6.464992,6.534508,33,0.320477,53,0.251345,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,2.930812,211.250000,3.493996,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.443333,54798,6.617662,6.539347,6.558926,6.625494,33,0.323023,53,0.240392,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,2.971620,211.250000,3.542646,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.521667,49539,7.320185,7.233556,7.250882,7.328848,33,0.356487,53,0.265246,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.287084,211.250000,3.918729,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.076111,52337,6.928839,6.846841,6.863241,6.937039,33,0.353555,53,0.275923,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.111352,211.250000,3.709229,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.881666,53787,6.742050,6.662263,6.682210,6.750029,33,0.327403,53,0.232064,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.027476,211.250000,3.609235,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.968889,53944,6.722428,6.642873,6.658784,6.730383,33,0.291358,53,0.254857,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.018664,211.250000,3.598730,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.908890,52036,6.968919,6.886446,6.907064,6.977166,33,0.336229,53,0.260570,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.129349,211.250000,3.730685,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.196667,54354,6.671720,6.592764,6.612504,6.679615,33,0.275343,53,0.343397,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,2.995894,211.250000,3.571584,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.972221,52150,6.953685,6.871393,6.887851,6.961914,33,0.332368,53,0.287900,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.122509,211.250000,3.722529,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.201666,45363,7.994063,7.899458,7.923110,8.003523,33,0.385953,53,0.345149,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.589684,211.250000,4.279477,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.632223,51538,7.036258,6.952988,6.969642,7.044585,33,0.332803,53,0.356048,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.159588,211.250000,3.766733,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.419445,47555,7.625584,7.535340,7.553389,7.634608,33,0.374472,53,0.307097,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.424221,211.250000,4.082218,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.731112,48116,7.536675,7.447484,7.469782,7.545594,33,0.323946,53,0.301023,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.384297,211.250000,4.034622,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.123888,50623,7.163437,7.078662,7.095617,7.171915,33,0.357980,53,0.316417,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.216697,211.250000,3.834816,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.439444,52991,6.843326,6.762340,6.782586,6.851424,33,0.318205,53,0.289993,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.072953,211.250000,3.663450,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.585556,46054,7.874118,7.780934,7.804230,7.883437,33,0.374886,53,0.356755,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.535824,211.250000,4.215267,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.564444,47816,7.583961,7.494210,7.512160,7.592936,33,0.349360,53,0.286954,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.405530,211.250000,4.059937,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.908333,50235,7.218765,7.133336,7.154694,7.227308,33,0.380034,53,0.254484,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.241542,211.250000,3.864435,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.825556,50086,7.240240,7.154557,7.171693,7.248808,33,0.311085,53,0.258296,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.251185,211.250000,3.875931,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.327778,45590,7.954259,7.860126,7.878952,7.963672,33,0.380785,53,0.283659,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.571810,211.250000,4.258169,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.334444,51002,7.110205,7.026060,7.047097,7.118619,33,0.292400,53,0.316223,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.192793,211.250000,3.806319,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.067778,46922,7.728457,7.636996,7.655288,7.737603,33,0.386386,53,0.284643,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.470415,211.250000,4.137290,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.702223,49864,7.272474,7.186409,7.207926,7.281081,33,0.346162,53,0.278658,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.265659,211.250000,3.893188,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.811111,48260,7.514187,7.425261,7.447493,7.523079,33,0.389515,53,0.327538,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.374198,211.250000,4.022584,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.395555,52912,6.853543,6.772436,6.788657,6.861653,33,0.331721,53,0.261718,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.077541,211.250000,3.668920,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.471666,45849,7.909326,7.815724,7.839125,7.918685,33,0.407446,53,0.334337,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.551633,211.250000,4.234114,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.246111,54443,6.660813,6.581987,6.597753,6.668696,33,0.326139,53,0.238874,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,2.990997,211.250000,3.565746,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.674999,46215,7.846688,7.753828,7.772399,7.855974,33,0.391604,53,0.277226,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.523506,211.250000,4.200582,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.901112,53822,6.737666,6.657930,6.677865,6.745639,33,0.302980,53,0.233157,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.025507,211.250000,3.606887,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.921112,46658,7.772186,7.680207,7.698603,7.781384,33,0.397424,53,0.322324,209.250000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.490052,211.250000,4.160699,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.268888,49084,7.388042,7.300610,7.322468,7.396785,33,0.313218,53,0.287202,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.317554,211.250000,3.955055,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.820555,51877,6.990278,6.907553,6.928235,6.998551,33,0.353702,53,0.252675,209.375000,211.500000,NA,NA,NA,NA,NA,NA,NA,NA,208.750000,3.138941,211.250000,3.742119,
