block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.202223,48964,1.513333,0.055633,10.426666,0.383302,19.093306,8.426666,0.309779,23.907875,0.018997,10.805000,0.397210,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,5.176667,13.542222,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.459444,53027,1.515556,0.051445,9.015555,0.306033,22.081779,9.497778,0.322402,21.211666,0.021323,11.575000,0.392913,2.667778,2.252222,0.000000,0.000000,0.000000,0.000000,9.659445,11.746667,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.802221,50044,1.515556,0.054512,8.987778,0.323276,22.150026,8.422778,0.302953,23.918913,0.019990,11.178889,0.402086,2.668889,2.251667,0.000000,0.000000,0.000000,0.000000,10.594444,12.667778,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.837223,48307,1.515556,0.056472,9.335000,0.347838,21.326139,8.828333,0.328959,22.820129,0.019203,10.782222,0.401764,2.668889,2.251667,0.000000,0.000000,0.000000,0.000000,11.176666,11.726111,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.919445,53855,1.515556,0.050655,8.688889,0.290409,22.911966,8.772778,0.293213,22.964643,0.022233,11.367222,0.379928,2.668889,2.256111,0.000000,0.000000,0.000000,0.000000,11.762777,11.543889,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.867222,55561,1.515556,0.049099,9.892222,0.320477,20.124851,7.758333,0.251345,25.967396,0.021487,11.010000,0.356689,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,11.171111,11.738889,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.443333,54798,1.515556,0.049783,9.833889,0.323023,20.244230,7.318333,0.240392,27.528631,0.022412,11.101666,0.364667,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,12.198889,10.232778,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.521667,49539,1.515556,0.055068,9.811111,0.356487,20.291229,7.300000,0.265246,27.597767,0.019898,10.966666,0.398474,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,11.241111,10.271111,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.076111,52337,1.515556,0.052124,10.280000,0.353555,19.365713,8.022778,0.275923,25.111465,0.019448,11.292778,0.388387,2.668889,2.255000,0.000000,0.000000,0.000000,0.000000,11.205000,10.752778,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.881666,53787,1.515556,0.050719,9.783334,0.327403,20.348841,6.934444,0.232064,29.052608,0.018765,11.372222,0.380575,2.670000,2.258889,0.000000,0.000000,0.000000,0.000000,7.696667,13.123889,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.968889,53944,1.515556,0.050571,8.731667,0.291358,22.799715,7.637778,0.254857,26.377268,0.019098,11.550555,0.385418,2.671667,2.256667,0.000000,0.000000,0.000000,0.000000,11.878333,9.941667,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.908890,52036,1.515556,0.052425,9.720000,0.336229,20.481432,7.532778,0.260570,26.744942,0.021505,10.747222,0.371762,2.671667,2.256667,0.000000,0.000000,0.000000,0.000000,12.097222,9.444445,
