block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,27.202223,48964,0.000000,0.000000,0.000000,0.000000,0.000000,0.368454,0.000000,0.346357,
1,vector0,NA,NA,NA,NA,NA,NA,29.459444,53027,0.000000,0.000000,0.000000,0.000000,0.000000,0.297245,0.000000,0.236578,
2,vector0,NA,NA,NA,NA,NA,NA,27.802221,50044,0.000000,0.000000,0.000000,0.000000,0.000000,0.315742,0.000000,0.284290,
3,vector0,NA,NA,NA,NA,NA,NA,26.837223,48307,0.000000,0.000000,0.000000,0.000000,0.000000,0.337156,0.000000,0.270768,
4,vector0,NA,NA,NA,NA,NA,NA,29.919445,53855,0.000000,0.000000,0.000000,0.000000,0.000000,0.278359,0.000000,0.225272,
5,vector0,NA,NA,NA,NA,NA,NA,30.867222,55561,0.000000,0.000000,0.000000,0.000000,0.000000,0.312755,0.000000,0.244524,
6,vector0,NA,NA,NA,NA,NA,NA,30.443333,54798,0.000000,0.000000,0.000000,0.000000,0.000000,0.314081,0.000000,0.238877,
7,vector0,NA,NA,NA,NA,NA,NA,27.521667,49539,0.000000,0.000000,0.000000,0.000000,0.000000,0.348917,0.000343,0.267446,
8,vector0,NA,NA,NA,NA,NA,NA,29.076111,52337,0.000000,0.000000,0.000000,0.000000,0.000000,0.345645,0.000000,0.250626,
9,vector0,NA,NA,NA,NA,NA,NA,29.881666,53787,0.000000,0.000000,0.000000,0.000000,0.000000,0.315597,0.000000,0.341681,
10,vector0,NA,NA,NA,NA,NA,NA,29.968889,53944,0.000000,0.000000,0.000000,0.000000,0.000000,0.283368,0.000000,0.243883,
11,vector0,NA,NA,NA,NA,NA,NA,28.908890,52036,0.000000,0.000000,0.000000,0.000000,0.000000,0.327273,0.000000,0.238450,
12,vector0,NA,NA,NA,NA,NA,NA,30.196667,54354,0.000000,0.000000,0.000000,0.000000,0.000000,0.265942,0.000000,0.276981,
13,vector0,NA,NA,NA,NA,NA,NA,28.972221,52150,0.000000,0.000000,0.000000,0.000000,0.000000,0.324564,0.000364,0.354784,
14,vector0,NA,NA,NA,NA,NA,NA,25.201666,45363,0.000000,0.000000,0.000000,0.000000,0.000000,0.365805,0.000000,0.366951,
15,vector0,NA,NA,NA,NA,NA,NA,28.632223,51538,0.000000,0.000000,0.000000,0.000000,0.000000,0.324751,0.000330,0.308122,
16,vector0,NA,NA,NA,NA,NA,NA,26.419445,47555,0.000000,0.000000,0.000000,0.000000,0.000000,0.354873,0.000000,0.264368,
17,vector0,NA,NA,NA,NA,NA,NA,26.731112,48116,0.000000,0.000000,0.000000,0.000000,0.000000,0.312162,0.000000,0.253907,
18,vector0,NA,NA,NA,NA,NA,NA,28.123888,50623,0.000000,0.000000,0.000000,0.000000,0.000000,0.348675,0.000336,0.290935,
19,vector0,NA,NA,NA,NA,NA,NA,29.439444,52991,0.000000,0.000000,0.000000,0.000000,0.000000,0.310336,0.000000,0.286520,
20,vector0,NA,NA,NA,NA,NA,NA,25.585556,46054,0.000000,0.000000,0.000000,0.000000,0.000000,0.366374,0.000000,0.300148,
21,vector0,NA,NA,NA,NA,NA,NA,26.564444,47816,0.000000,0.000000,0.000000,0.000000,0.000000,0.338694,0.000000,0.334804,
22,vector0,NA,NA,NA,NA,NA,NA,27.908333,50235,0.000000,0.000000,0.000000,0.000000,0.000000,0.371375,0.000358,0.327421,
23,vector0,NA,NA,NA,NA,NA,NA,27.825556,50086,0.000000,0.000000,0.000000,0.000000,0.000000,0.301521,0.000359,0.310067,
24,vector0,NA,NA,NA,NA,NA,NA,25.327778,45590,0.000000,0.000000,0.000000,0.000000,0.000000,0.363018,0.000000,0.306361,
25,vector0,NA,NA,NA,NA,NA,NA,28.334444,51002,0.000000,0.000000,0.000000,0.000000,0.000000,0.278715,0.000000,0.248657,
26,vector0,NA,NA,NA,NA,NA,NA,26.067778,46922,0.000000,0.000000,0.000000,0.000000,0.000000,0.377392,0.000000,0.382337,
27,vector0,NA,NA,NA,NA,NA,NA,27.702223,49864,0.000000,0.000000,0.000000,0.000000,0.000000,0.336295,0.000000,0.321795,
28,vector0,NA,NA,NA,NA,NA,NA,26.811111,48260,0.000000,0.000000,0.000000,0.000000,0.000000,0.379693,0.000000,0.253730,
29,vector0,NA,NA,NA,NA,NA,NA,29.395555,52912,0.000000,0.000000,0.000000,0.000000,0.000000,0.324652,0.000340,0.287458,
30,vector0,NA,NA,NA,NA,NA,NA,25.471666,45849,0.000000,0.000000,0.000000,0.000000,0.000000,0.397631,0.000393,0.294183,
31,vector0,NA,NA,NA,NA,NA,NA,30.246111,54443,0.000000,0.000000,0.000000,0.000000,0.000000,0.315027,0.000000,0.259207,
32,vector0,NA,NA,NA,NA,NA,NA,25.674999,46215,0.000000,0.000000,0.000000,0.000000,0.000000,0.380547,0.000000,0.268939,
33,vector0,NA,NA,NA,NA,NA,NA,29.901112,53822,0.000000,0.000000,0.000000,0.000000,0.000000,0.293802,0.000334,0.203671,
34,vector0,NA,NA,NA,NA,NA,NA,25.921112,46658,0.000000,0.000000,0.000000,0.000000,0.000000,0.383536,0.000000,0.304342,
35,vector0,NA,NA,NA,NA,NA,NA,27.268888,49084,0.000000,0.000000,0.000000,0.000000,0.000000,0.301789,0.000000,0.266808,
36,vector0,NA,NA,NA,NA,NA,NA,28.820555,51877,0.000000,0.000000,0.000000,0.000000,0.000000,0.345876,0.000000,0.286312,
37,vector0,NA,NA,NA,NA,NA,NA,28.978333,52161,0.000000,0.000000,0.000000,0.000000,0.000000,0.292307,0.000000,0.254117,
38,vector0,NA,NA,NA,NA,NA,NA,28.262222,50872,0.000000,0.000000,0.000000,0.000000,0.000000,0.340010,0.000000,0.267632,
39,vector0,NA,NA,NA,NA,NA,NA,17.352777,31235,0.000000,0.000000,0.000000,0.000000,0.000000,0.206403,0.000000,0.177013,
