block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.202223,48964,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,29.459444,53027,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.802221,50044,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.837223,48307,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,29.919445,53855,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.867222,55561,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.443333,54798,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.521667,49539,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,29.076111,52337,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,29.881666,53787,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,29.968889,53944,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28.908890,52036,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.196667,54354,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28.972221,52150,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.201666,45363,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28.632223,51538,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.419445,47555,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.731112,48116,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28.123888,50623,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,29.439444,52991,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.585556,46054,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.564444,47816,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.908333,50235,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.825556,50086,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.327778,45590,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28.334444,51002,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.067778,46922,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.702223,49864,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26.811111,48260,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,29.395555,52912,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.471666,45849,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.246111,54443,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.674999,46215,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,29.901112,53822,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25.921112,46658,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27.268888,49084,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28.820555,51877,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28.978333,52161,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28.262222,50872,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.352777,31235,
