Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1787504006851852.778	,1787504006851852.798	
0,N/A,TASK_TIMEOUT_SET,49,4,145.642,1787504006861028.542	,1787504006861174.184	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,0,4.600,1787504007005868.315	,1787504007005872.916	
0,OnesLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,1,8.060,1787504007006637.951	,1787504007006646.011	
0,GroupedMatmul_0d2d43751f81d7f29646a862147967c9_102439707,MIX_AIC,46,2,26.660,1787504007019867.535	,1787504007019894.196	
0,N/A,PROFILING_DISABLE,49,5,0.000,1787504007918545.871	,1787504007918545.871	
